datetime,CicloActivo,ReiniciarCiclo,AbortarCiclo,FinCiclo,ID_Control,Nombre_Control,ID_EC,NombreCiclo
2025-12-29T15:53:07Z,true,false,false,false,216L,,H,H

2025-12-29T15:53:16Z,true,false,false,false,217L,,H,H

2025-12-29T15:53:24Z,true,false,false,false,218L,,H,H

2025-12-29T15:53:38Z,true,false,false,false,219L,,H,H

2025-12-29T15:53:46Z,true,false,false,false,220L,,H,H

2025-12-29T15:53:54Z,true,false,false,false,221L,,H,H

2025-12-29T15:54:11Z,true,false,false,false,222L,,H,H

2025-12-29T15:54:16Z,true,false,false,false,223L,,H,H

2025-12-29T15:54:21Z,true,false,false,false,224L,,H,H

2025-12-29T15:54:26Z,true,false,false,false,225L,,H,H

2025-12-29T15:54:31Z,true,false,false,false,226L,,H,H

2025-12-29T15:54:36Z,true,false,false,false,227L,,H,H

2025-12-29T15:54:53Z,true,false,false,false,228L,,H,H

2025-12-29T15:54:53Z,true,false,false,false,228L,,H,H

2025-12-29T15:54:58Z,true,false,false,false,229L,,H,H

2025-12-29T15:55:13Z,true,false,false,false,232L,,H,H

2025-12-29T15:55:18Z,true,false,false,false,233L,,H,H

2025-12-29T15:55:38Z,true,false,false,false,234F,,H,H

2025-12-29T15:55:44Z,true,false,false,false,235F,,H,H

2025-12-29T15:55:50Z,true,false,false,false,236F,,H,H

2025-12-29T15:55:53Z,true,false,false,false,237F,,H,H

2025-12-29T15:55:59Z,true,false,false,false,238F,,H,H

2025-12-29T15:56:05Z,true,false,false,false,239F,,H,H

2025-12-29T15:59:07Z,true,false,false,false,239F,,H,H

2025-12-29T15:59:20Z,true,false,false,false,239F,,H,H

2025-12-29T15:59:38Z,true,false,false,false,239F,,H,H

2025-12-29T15:59:45Z,true,false,false,false,239F,,H,H

2025-12-29T16:00:03Z,true,false,false,false,239F,,H,H

2025-12-29T16:00:08Z,true,false,false,false,239F,,H,H

2025-12-29T16:00:16Z,true,false,false,false,239F,,H,H

2025-12-29T16:00:23Z,true,false,false,false,239F,,H,H

2025-12-29T16:00:30Z,true,false,false,false,239F,,H,H

2025-12-29T16:01:44Z,true,false,false,false,239F,,H,H

2025-12-29T16:01:50Z,true,false,false,false,239F,,H,H

2025-12-29T16:01:56Z,true,false,false,false,239F,,H,H

2025-12-29T15:36:59Z,true,false,false,false,24L,,H,H

2025-12-29T15:37:04Z,true,false,false,false,25L,,H,H

2025-12-29T15:37:10Z,true,false,false,false,26L,,H,H

2025-12-29T15:37:17Z,true,false,false,false,27L,,H,H

2025-12-29T15:37:23Z,true,false,false,false,28L,,H,H

2025-12-29T15:37:29Z,true,false,false,false,29F,,H,H

2025-12-29T15:35:20Z,true,false,false,false,2F,,H,H

2025-12-29T15:37:34Z,true,false,false,false,30F,,H,H

2025-12-29T15:37:38Z,true,false,false,false,31F,,H,H

2025-12-29T15:37:42Z,true,false,false,false,32F,,H,H

2025-12-29T15:37:53Z,true,false,false,false,35F,,H,H

2025-12-29T15:37:56Z,true,false,false,false,36F,,H,H

2025-12-29T15:38:00Z,true,false,false,false,37F,,H,H

2025-12-29T15:35:24Z,true,false,false,false,3F,,H,H

2025-12-29T15:38:15Z,true,false,false,false,40L,,H,H

2025-12-29T15:38:21Z,true,false,false,false,41L,,H,H

2025-12-29T15:38:27Z,true,false,false,false,42L,,H,H

2025-12-29T15:38:33Z,true,false,false,false,43L,,H,H

2025-12-29T15:38:40Z,true,false,false,false,44F,,H,H

2025-12-29T15:38:44Z,true,false,false,false,45F,,H,H

2025-12-29T15:38:48Z,true,false,false,false,46F,,H,H

2025-12-29T15:38:52Z,true,false,false,false,47F,,H,H

2025-12-29T15:35:27Z,true,false,false,false,4F,,H,H

2025-12-29T15:39:04Z,true,false,false,false,50F,,H,H

2025-12-29T15:39:04Z,true,false,false,false,50F,,H,H

2025-12-29T15:39:14Z,true,false,false,false,53F,,H,H

2025-12-29T15:39:20Z,true,false,false,false,54L,,H,H

2025-12-29T15:39:25Z,true,false,false,false,55L,,H,H

2025-12-29T15:39:31Z,true,false,false,false,56L,,H,H

2025-12-29T15:39:38Z,true,false,false,false,57L,,H,H

2025-12-29T15:39:44Z,true,false,false,false,58L,,H,H

2025-12-29T15:39:50Z,true,false,false,false,59F,,H,H

2025-12-29T15:39:55Z,true,false,false,false,60F,,H,H

2025-12-29T15:40:03Z,true,false,false,false,62F,,H,H

2025-12-29T15:40:11Z,true,false,false,false,64F,,H,H

2025-12-29T15:40:15Z,true,false,false,false,65F,,H,H

2025-12-29T15:40:17Z,true,false,false,false,66F,,H,H

2025-12-29T15:40:31Z,true,false,false,false,69L,,H,H

2025-12-29T15:40:36Z,true,false,false,false,70L,,H,H

2025-12-29T15:40:42Z,true,false,false,false,71L,,H,H

2025-12-29T15:40:48Z,true,false,false,false,72L,,H,H

2025-12-29T15:40:55Z,true,false,false,false,73L,,H,H

2025-12-29T15:41:01Z,true,false,false,false,74F,,H,H

2025-12-29T15:41:06Z,true,false,false,false,75F,,H,H

2025-12-29T15:41:10Z,true,false,false,false,76F,,H,H

2025-12-29T15:41:21Z,true,false,false,false,79F,,H,H

