datetime,F0-Xc,F0-Yc,F1-Xc,F1-Yc,F2-Xc,F2-Yc,F3-Xc,F3-Yc,F4-Xc,F4-Yc,F5-Xc,F5-Yc,F6-Xc,F6-Yc,F7-Xc,F7-Yc,F8-Xc,F8-Yc,F9-Xc,F9-Yc,F10-Xc,F10-Yc,F11-Xc,F11-Yc,F12-Xc,F12-Yc,F13-Xc,F13-Yc,CicloActivo,NombreCiclo,ID_EC

2026-05-01T15:00:59.918Z,0.49508902430534363,0.935411810874939,-0.11663785576820374,0.9009064435958862,-0.2720778286457062,1.0983744859695435,-0.8762132525444031,1.1626613140106201,-1.2412211894989014,1.4207935333251953,-1.8673983812332153,1.3870896100997925,-2.1298348903656006,1.438174843788147,-2.0244624614715576,1.7591311931610107,-2.4554619789123535,1.7648988962173462,-2.6429896354675293,1.918965220451355,-2.800884962081909,1.9002388715744019,-2.499455690383911,1.8682267665863037,-2.322129249572754,2.085094928741455,-1.685488224029541,1.9640297889709473,false,CNAIIxyz,E3807

2026-05-01T15:06:31.194Z,0.49508902430534363,0.935411810874939,-0.11663785576820374,0.9009064435958862,-0.2720778286457062,1.0983744859695435,-0.8762132525444031,1.1626613140106201,-1.2412211894989014,1.4207935333251953,-1.8673983812332153,1.3870896100997925,-2.1298348903656006,1.438174843788147,-2.0244624614715576,1.7591311931610107,-2.4554619789123535,1.7648988962173462,-2.6429896354675293,1.918965220451355,-2.800884962081909,1.9002388715744019,-2.499455690383911,1.8682267665863037,-2.322129249572754,2.085094928741455,-1.685488224029541,1.9640297889709473,true,CNAIIxyz,E3807

2026-05-01T15:09:31.194Z,0.49508902430534363,0.935411810874939,-0.11663785576820374,0.9009064435958862,-0.2720778286457062,1.0983744859695435,-0.8762132525444031,1.1626613140106201,-1.2412211894989014,1.4207935333251953,-1.8673983812332153,1.3870896100997925,-2.1298348903656006,1.438174843788147,-2.0244624614715576,1.7591311931610107,-2.4554619789123535,1.7648988962173462,-2.6429896354675293,1.918965220451355,-2.800884962081909,1.9002388715744019,-2.499455690383911,1.8682267665863037,-2.322129249572754,2.085094928741455,-1.685488224029541,1.9640297889709473,false,CNAIIxyz,E3807
2026-05-04T12:15:46.697Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,CNAII,E3809

2026-05-04T12:16:39.086Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:18:22.983Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:19:32.584Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:20:43.205Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:21:53.810Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:23:04.371Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:24:13.963Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2882003784179688,1.8591127395629883,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:25:24.508Z,0,0,0,0,0,0,0,0,0,0,0,0,-0.5015696883201599,1.6373436450958252,-1.2882003784179688,1.8591127395629883,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:25:25.511Z,0,0,0,0,0,0,0,0,0,0,0,0,-0.43339046835899353,1.6135225296020508,-1.2882003784179688,1.8591127395629883,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:26:36.043Z,0,0,0,0,0,0,0,0,0,0,0.49688249826431274,1.162201166152954,-0.43339046835899353,1.6135225296020508,-1.2882003784179688,1.8591127395629883,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:27:46.566Z,0,0,0,0,0,0,0,0,1.639814853668213,0.6603408455848694,0.49688249826431274,1.162201166152954,-0.43339046835899353,1.6135225296020508,-1.2882003784179688,1.8591127395629883,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:28:57.149Z,0,0,0,0,0,0,2.6506283283233643,0.283603310585022,1.639814853668213,0.6603408455848694,0.49688249826431274,1.162201166152954,-0.43339046835899353,1.6135225296020508,-1.2882003784179688,1.8591127395629883,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:30:07.720Z,0,0,0,0,3.4322080612182617,0.19210515916347504,2.6506283283233643,0.283603310585022,1.639814853668213,0.6603408455848694,0.49688249826431274,1.162201166152954,-0.43339046835899353,1.6135225296020508,-1.2882003784179688,1.8591127395629883,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:31:17.259Z,0,0,3.3531222343444824,-0.22820580005645752,3.4322080612182617,0.19210515916347504,2.6506283283233643,0.283603310585022,1.639814853668213,0.6603408455848694,0.49688249826431274,1.162201166152954,-0.43339046835899353,1.6135225296020508,-1.2882003784179688,1.8591127395629883,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:33:48.536Z,3.659623146057129,0.4141872823238373,3.3531222343444824,-0.22820580005645752,3.4322080612182617,0.19210515916347504,2.6506283283233643,0.283603310585022,1.639814853668213,0.6603408455848694,0.49688249826431274,1.162201166152954,-0.43339046835899353,1.6135225296020508,-1.2882003784179688,1.8591127395629883,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:33:53.608Z,3.4778850078582764,0.3692542612552643,3.3531222343444824,-0.22820580005645752,3.4322080612182617,0.19210515916347504,2.6506283283233643,0.283603310585022,1.639814853668213,0.6603408455848694,0.49688249826431274,1.162201166152954,-0.43339046835899353,1.6135225296020508,-1.2882003784179688,1.8591127395629883,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,true,CNAII,E3809

2026-05-04T12:36:28.799Z,3.4778850078582764,0.3692542612552643,3.3531222343444824,-0.22820580005645752,3.4322080612182617,0.19210515916347504,2.6506283283233643,0.283603310585022,1.639814853668213,0.6603408455848694,0.49688249826431274,1.162201166152954,-0.43339046835899353,1.6135225296020508,-1.2882003784179688,1.8591127395629883,-2.649434804916382,1.842600703239441,-3.2696001529693604,2.156376600265503,-4.4389119148254395,2.027876853942871,-5.178327560424805,2.020481586456299,-5.370962619781494,2.430723190307617,-5.188317775726318,2.8655242919921875,false,CNAII,E3809

2026-05-04T16:30:12.836Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,CNAII,E3808

2026-05-04T16:31:05.294Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.384077548980713,2.7419116497039795,true,CNAII,E3808

2026-05-04T16:32:49.171Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.324817180633545,2.3913180828094482,-5.384077548980713,2.7419116497039795,true,CNAII,E3808

2026-05-04T16:33:58.784Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.086003303527832,2.0457043647766113,-5.324817180633545,2.3913180828094482,-5.384077548980713,2.7419116497039795,true,CNAII,E3808

2026-05-04T16:35:09.391Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.386297225952148,1.9751766920089722,-5.086003303527832,2.0457043647766113,-5.324817180633545,2.3913180828094482,-5.384077548980713,2.7419116497039795,true,CNAII,E3808

2026-05-04T16:36:20.032Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.324697971343994,2.1506845951080322,-4.386297225952148,1.9751766920089722,-5.086003303527832,2.0457043647766113,-5.324817180633545,2.3913180828094482,-5.384077548980713,2.7419116497039795,true,CNAII,E3808

2026-05-04T16:37:30.643Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5281198024749756,1.9042210578918457,-3.324697971343994,2.1506845951080322,-4.386297225952148,1.9751766920089722,-5.086003303527832,2.0457043647766113,-5.324817180633545,2.3913180828094482,-5.384077548980713,2.7419116497039795,true,CNAII,E3808

2026-05-04T16:38:41.226Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5460885763168335,1.747321605682373,-2.5281198024749756,1.9042210578918457,-3.324697971343994,2.1506845951080322,-4.386297225952148,1.9751766920089722,-5.086003303527832,2.0457043647766113,-5.324817180633545,2.3913180828094482,-5.384077548980713,2.7419116497039795,true,CNAII,E3808

2026-05-04T16:39:51.884Z,0,0,0,0,0,0,0,0,0,0,0,0,-0.6068196296691895,1.6048493385314941,-1.5460885763168335,1.747321605682373,-2.5281198024749756,1.9042210578918457,-3.324697971343994,2.1506845951080322,-4.386297225952148,1.9751766920089722,-5.086003303527832,2.0457043647766113,-5.324817180633545,2.3913180828094482,-5.384077548980713,2.7419116497039795,true,CNAII,E3808

