datetime,F0-Xc,F0-Yc,F1-Xc,F1-Yc,F2-Xc,F2-Yc,F3-Xc,F3-Yc,F4-Xc,F4-Yc,F5-Xc,F5-Yc,F6-Xc,F6-Yc,F7-Xc,F7-Yc,F8-Xc,F8-Yc,F9-Xc,F9-Yc,F10-Xc,F10-Yc,F11-Xc,F11-Yc,F12-Xc,F12-Yc,F13-Xc,F13-Yc,CicloActivo,NombreCiclo,ID_EC,diametro

2026-05-01T15:00:59.918Z,0.49508902430534363,0.935411810874939,-0.11663785576820374,0.9009064435958862,-0.2720778286457062,1.0983744859695435,-0.8762132525444031,1.1626613140106201,-1.2412211894989014,1.4207935333251953,-1.8673983812332153,1.3870896100997925,-2.1298348903656006,1.438174843788147,-2.0244624614715576,1.7591311931610107,-2.4554619789123535,1.7648988962173462,-2.6429896354675293,1.918965220451355,-2.800884962081909,1.9002388715744019,-2.499455690383911,1.8682267665863037,-2.322129249572754,2.085094928741455,-1.685488224029541,1.9640297889709473,false,CNAIIxyz,E3807,0
2026-05-07T01:19:49.627Z,1.0362125635147095,-0.47340652346611023,0.77464359998703,-0.5292492508888245,0.47936952114105225,-0.907918393611908,0.11941172927618027,-1.26063072681427,-0.07132907956838608,-1.7829911708831787,-0.3346279263496399,-2.016298294067383,-0.6353469491004944,-2.331815004348755,-0.11061304062604904,-2.2732980251312256,0.038311686366796494,-2.5756983757019043,-0.1988830715417862,-3.3669538497924805,-0.3970702588558197,-3.8782174587249756,-0.26206523180007935,-4.7067413330078125,0.07469215989112854,-5.17993688583374,0.651803195476532,-4.669651031494141,false,CNEAII,E3813

2026-05-07T01:20:45.626Z,1.0362125635147095,-0.47340652346611023,0.77464359998703,-0.5292492508888245,0.47936952114105225,-0.907918393611908,0.11941172927618027,-1.26063072681427,-0.07132907956838608,-1.7829911708831787,-0.3346279263496399,-2.016298294067383,-0.6353469491004944,-2.331815004348755,-0.11061304062604904,-2.2732980251312256,0.038311686366796494,-2.5756983757019043,-0.1988830715417862,-3.3669538497924805,-0.3970702588558197,-3.8782174587249756,-0.26206523180007935,-4.7067413330078125,0.07469215989112854,-5.17993688583374,0.651803195476532,-4.669651031494141,false,CNEAII,E3813,

2026-05-07T01:21:32.777Z,1.0362125635147095,-0.47340652346611023,0.77464359998703,-0.5292492508888245,0.47936952114105225,-0.907918393611908,0.11941172927618027,-1.26063072681427,-0.07132907956838608,-1.7829911708831787,-0.3346279263496399,-2.016298294067383,-0.6353469491004944,-2.331815004348755,-0.11061304062604904,-2.2732980251312256,0.038311686366796494,-2.5756983757019043,-0.1988830715417862,-3.3669538497924805,-0.3970702588558197,-3.8782174587249756,-0.26206523180007935,-4.7067413330078125,0.07469215989112854,-5.17993688583374,0.651803195476532,-4.669651031494141,false,CNEAII,E3813,

2026-05-07T01:22:44.696Z,1.0362125635147095,-0.47340652346611023,0.77464359998703,-0.5292492508888245,0.47936952114105225,-0.907918393611908,0.11941172927618027,-1.26063072681427,-0.07132907956838608,-1.7829911708831787,-0.3346279263496399,-2.016298294067383,-0.6353469491004944,-2.331815004348755,-0.11061304062604904,-2.2732980251312256,0.038311686366796494,-2.5756983757019043,-0.1988830715417862,-3.3669538497924805,-0.3970702588558197,-3.8782174587249756,-0.26206523180007935,-4.7067413330078125,0.07469215989112854,-5.17993688583374,0.651803195476532,-4.669651031494141,false,CNEAII,E3813,22

2026-05-07T01:22:44.696Z,1.0362125635147095,-0.47340652346611023,0.77464359998703,-0.5292492508888245,0.47936952114105225,-0.907918393611908,0.11941172927618027,-1.26063072681427,-0.07132907956838608,-1.7829911708831787,-0.3346279263496399,-2.016298294067383,-0.6353469491004944,-2.331815004348755,-0.11061304062604904,-2.2732980251312256,0.038311686366796494,-2.5756983757019043,-0.1988830715417862,-3.3669538497924805,-0.3970702588558197,-3.8782174587249756,-0.26206523180007935,-4.7067413330078125,0.07469215989112854,-5.17993688583374,0.651803195476532,-4.669651031494141,false,CNEAIIxyz,E3813,22
2026-05-07T01:23:44.696Z,1.0362125635147095,-0.47340652346611023,0.77464359998703,-0.5292492508888245,0.47936952114105225,-0.907918393611908,0.11941172927618027,-1.26063072681427,-0.07132907956838608,-1.7829911708831787,-0.3346279263496399,-2.016298294067383,-0.6353469491004944,-2.331815004348755,-0.11061304062604904,-2.2732980251312256,0.038311686366796494,-2.5756983757019043,-0.1988830715417862,-3.3669538497924805,-0.3970702588558197,-3.8782174587249756,-0.26206523180007935,-4.7067413330078125,0.07469215989112854,-5.17993688583374,0.651803195476532,-4.669651031494141,true,CNEAIIxyz,E3813,22
2026-05-07T01:24:44.696Z,1.0362125635147095,-0.47340652346611023,0.77464359998703,-0.5292492508888245,0.47936952114105225,-0.907918393611908,0.11941172927618027,-1.26063072681427,-0.07132907956838608,-1.7829911708831787,-0.3346279263496399,-2.016298294067383,-0.6353469491004944,-2.331815004348755,-0.11061304062604904,-2.2732980251312256,0.038311686366796494,-2.5756983757019043,-0.1988830715417862,-3.3669538497924805,-0.3970702588558197,-3.8782174587249756,-0.26206523180007935,-4.7067413330078125,0.07469215989112854,-5.17993688583374,0.651803195476532,-4.669651031494141,false,CNEAIIxyz,E3813,22
